"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"comp610_c0_seq1"	107114,381385727	-1,1230822962145	0,131857752677071	-8,51737780610449	1,63206405224458e-17	5,83865167986089e-17
"comp185_c0_seq1"	157423,873398375	-1,46408115965295	0,172615516793363	-8,48174710391531	2,21837334253229e-17	7,82592818060004e-17
"comp6132_c0_seq2"	120981,957791713	1,94243454254342	0,2292731931924	8,47213978876884	2,40925763203837e-17	8,3828964183253e-17
"comp1509_c1_seq1"	223093,149203037	1,77692303852276	0,210021902771215	8,46065584149304	2,6587798032251e-17	9,12608202728616e-17
"comp866_c0_seq2"	712082,877474749	2,29575237175021	0,275882865360063	8,321475017138	8,68753306451706e-17	2,94217786451644e-16
"comp590_c0_seq3"	965896,367832609	2,34547940138825	0,283861252778349	8,26276703294795	1,42333861810561e-16	4,75694748682665e-16
"comp1657_c0_seq1"	192019,561092751	2,11490065998884	0,256077122765279	8,25884263752592	1,47091694439034e-16	4,85211563474217e-16
"comp590_c0_seq2"	480686,783325151	2,65356776955872	0,321914538819842	8,2430814690348	1,67831214481447e-16	5,46527288183174e-16
"comp253_c0_seq1"	115457,545749701	-1,12813911478597	0,137492248185466	-8,20511068568896	2,3037854138122e-16	7,40710753301643e-16
"comp680_c0_seq1"	133786,384433562	1,2000643815467	0,147049586790594	8,16095038237445	3,32398704264493e-16	1,05536588603977e-15
"comp138_c0_seq1"	147257,338354516	-1,55426744040127	0,193582891244807	-8,02895044291763	9,83100562245134e-16	3,08280917049709e-15
"comp2908_c0_seq1"	13835,8312129967	3,26090762737546	0,4077341685404	7,99763149369796	1,26835294159074e-15	3,9288005751713e-15
"comp973_c0_seq1"	238025,101716149	1,79085527245093	0,225305167016802	7,94857612971377	1,88667383702832e-15	5,77367656150836e-15
"comp736_c0_seq1"	71033,4115211188	-0,999237359007787	0,126443595113805	-7,90263325009408	2,73072162025689e-15	8,25718204220536e-15
"comp1277_c0_seq1"	216253,160400973	1,73573795642209	0,2206797605826	7,86541525983037	3,67875063451697e-15	1,09929724843213e-14
"comp1229_c0_seq1"	161751,73937563	1,53179544448037	0,196671862393177	7,78858462944781	6,77639770561559e-15	2,00140118282135e-14
"comp2232_c0_seq1"	43073,6684851098	-1,71417570283371	0,220580160881853	-7,77121431039239	7,77372436387896e-15	2,26957010163822e-14
"comp116_c0_seq1"	195630,062363085	1,54360980586174	0,199042760559456	7,75516678689075	8,8227443788961e-15	2,54656485481774e-14
"comp9536_c0_seq1"	773624,284199164	2,34864786071039	0,302991523514407	7,75152992225117	9,07919450741378e-15	2,59114090436303e-14
"comp403_c0_seq1"	113666,502196934	-1,27315221352729	0,166599620217716	-7,64198748990849	2,13893964970196e-14	6,0365630113811e-14
