 "baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"comp1268_c0_seq1"	28574,7282949832	-1,13903560481554	0,113962161457681	-9,99485785673265	1,60517360388026e-23	1,17022333702238e-22
"comp1200_c0_seq1"	257105,00304198	2,56340941046156	0,257322240476408	9,96186495856576	2,23824061334621e-23	1,60584882100395e-22
"comp680_c0_seq1"	139301,990795937	1,57326064233781	0,158087208135854	9,95185291010904	2,4753081211059e-23	1,74818636053104e-22
"comp223_c0_seq1"	210444,048638501	-1,12361946092625	0,113185651934877	-9,92722524205401	3,16952744092134e-23	2,20404062045607e-22
"comp274_c0_seq1"	66574,5870879273	-2,09901787845189	0,213240557436578	-9,84342708387536	7,31748337284605e-23	5,0113674007976e-22
"comp2284_c0_seq1"	130640,071515348	2,07681887426509	0,21113145424617	9,83661521055791	7,83009070918222e-23	5,28238955306025e-22
"comp463_c0_seq1"	65341,3646248206	-1,04315305355739	0,10641248874691	-9,80291943024106	1,09377762123209e-22	7,27040418818977e-22
"comp2459_c0_seq1"	143536,500308618	2,57933406382087	0,263282980762767	9,7968127538977	1,16194208042251e-22	7,61156261378223e-22
"comp7562_c0_seq1"	363387,213700471	2,61180107271451	0,267859891057046	9,75062396392252	1,83337903311234e-22	1,18383903280968e-21
"comp7562_c0_seq2"	705548,530633798	2,10978220191074	0,217198770243984	9,71360104636311	2,63847142523181e-22	1,65637372806219e-21
"comp824_c0_seq1"	51637,1224624319	-1,58304899950048	0,162952954365808	-9,71476096068032	2,60860378044169e-22	1,65637372806219e-21
"comp19941_c0_seq1"	8831,18309679336	3,08533261248122	0,321368013464763	9,60062135374752	7,94639227880398e-22	4,92023193153343e-21
"comp5446_c0_seq1"	20153,9364091309	1,54999740205328	0,161954004127348	9,570602532522	1,06284431627298e-21	6,40540841273852e-21
"comp6132_c0_seq2"	128339,711131498	2,3098326756564	0,241326697434404	9,57139305436458	1,05474777807776e-21	6,40540841273852e-21
"comp509_c0_seq1"	120105,622919417	-1,04354691622945	0,109611405935562	-9,52042269070903	1,72476073479534e-21	1,02577875279933e-20
"comp271_c0_seq1"	107038,130304119	-0,963031766308524	0,101347572670213	-9,50226770050275	2,05368440036822e-21	1,20553941424212e-20
"comp1277_c0_seq1"	227966,408538792	2,10547541349789	0,221991729745416	9,48447681322401	2,43601996319271e-21	1,411642337645e-20
"comp1509_c1_seq1"	236526,75903162	2,15137679320085	0,227236891556635	9,46755070650426	2,86482147734529e-21	1,63911304779756e-20
"comp2205_c0_seq1"	130353,364986871	1,69507810122704	0,179863445546136	9,42425013643054	4,33189698760471e-21	2,44752179799666e-20
"comp14849_c0_seq1"	25571,5536894523	1,88863380912579	0,200432081943033	9,42281191123175	4,39166344208827e-21	2,45065663681963e-20
"comp7268_c0_seq2"	20824,5830543912	2,38624485519621	0,254026251603351	9,39369391995837	5,79320780202984e-21	3,19332917867986e-20
"comp404_c0_seq1"	68288,3396748972	-1,68035295532638	0,179671355805228	-9,35236976309102	8,57055552416024e-21	4,66733867098847e-20
"comp973_c0_seq1"	250802,430814042	2,15490793285167	0,230486929232637	9,34937152412953	8,8170062758485e-21	4,74438909128991e-20
"comp434_c0_seq1"	91950,8477516004	-1,02634807279151	0,111002181012042	-9,24619735787136	2,3262142764656e-20	1,23699865054406e-19
"comp116_c0_seq1"	205472,30751442	1,91544199321835	0,208460678787671	9,18850501858594	3,983387116849e-20	2,09359415908808e-19
"comp5591_c0_seq1"	20359,9242050974	2,19310097155741	0,240348140793075	9,12468456931204	7,19454619836734e-20	3,73785618581844e-19
"comp866_c0_seq2"	755983,123764597	2,67708854449771	0,294168403656154	9,1005305506124	8,98916239168536e-20	4,61716068300202e-19
"comp796_c0_seq1"	32222,1899925094	-3,16552359885566	0,348334696481931	-9,08759199363841	1,01256717589654e-19	5,14247599444086e-19
"comp590_c0_seq1"	3039044,11476343	2,61646787049848	0,28857814999885	9,06675668448533	1,22612322620889e-19	6,15786331384909e-19
"comp18782_c0_seq1"	6428,94152819594	4,84667954206528	0,536662235264581	9,03115446473667	1,69870118122313e-19	8,43750476827315e-19
"comp383_c0_seq1"	70324,0444031863	-1,32710360886804	0,146979530145901	-9,02917302532318	1,72973984097388e-19	8,49828704478473e-19
"comp393_c0_seq1"	29866,0043620342	-1,69362070450721	0,188069553691853	-9,00528911384651	2,15098309706356e-19	1,0454240428739e-18
"comp358_c0_seq1"	95264,6518289307	-1,09268575956908	0,121744820274173	-8,9752135418026	2,8280267876475e-19	1,35985968937944e-18
"comp1229_c0_seq1"	169612,362833995	1,89962997567307	0,211854465265819	8,96667423690858	3,05602307797058e-19	1,45402361183442e-18
"comp1292_c0_seq1"	126356,101697521	1,76884868733655	0,197565995264028	8,95320414311512	3,45310456558415e-19	1,62583673296254e-18
